V1,V2,V3,V4
bOtu265,bOtu1512,0.808823529,1
bOtu265,bOtu469,0.782690898,1
bOtu265,bOtu1900,0.77005138,1
bOtu265,bOtu772,0.685994341,1
bOtu265,bOtu794,0.695725243,1
bOtu265,bOtu2371,0.695725243,1
bOtu147,bOtu2265,0.753702346,1
eOtu115,eOtu354,0.714285714,1
eOtu115,eOtu538,0.657142857,1
bOtu251,bOtu170,0.657142857,1
bOtu149,bOtu562,0.657142857,1
bOtu149,bOtu538,0.714285714,1
bOtu149,bOtu515,0.714285714,1
bOtu149,bOtu157,0.676123404,1
bOtu149,bOtu329,0.657142857,1
bOtu362,bOtu424,0.657142857,1
bOtu362,bOtu1373,0.714285714,1
bOtu201,bOtu1853,0.657142857,1
bOtu201,bOtu208,0.657142857,1
bOtu201,bOtu547,0.657142857,1
bOtu201,bOtu1065,0.654653671,1
bOtu201,bOtu173,0.657142857,1
bOtu201,bOtu1301,0.657142857,1
bOtu201,bOtu1900,0.714285714,1
bOtu10,bOtu741,0.771428571,1
bOtu10,bOtu348,0.705882353,1
bOtu10,bOtu255,0.657142857,1
bOtu10,eOtu501,0.664211164,1
bOtu10,eOtu128,0.695725243,1
bOtu10,bOtu581,0.657142857,1
bOtu10,bOtu288,0.657142857,1
bOtu10,bOtu1238,0.714285714,1
bOtu10,bOtu1652,0.771428571,1
bOtu10,bOtu115,0.753702346,1
bOtu10,bOtu906,0.695725243,1
bOtu10,bOtu455,0.654653671,1
bOtu128,bOtu51,0.724713795,1
bOtu42503,bOtu233,0.714285714,1
bOtu42503,bOtu73,0.657142857,1
bOtu42503,bOtu20,0.828571429,1
bOtu42503,bOtu584,0.695725243,1
bOtu248,bOtu205,0.724713795,1
bOtu248,bOtu594,0.8932596,1
bOtu248,bOtu828,0.774596669,1
bOtu248,bOtu138,0.81167945,1
bOtu248,bOtu1853,0.764705882,1
bOtu248,bOtu394,0.661764706,1
bOtu248,bOtu59,0.714285714,1
bOtu248,bOtu64,0.657142857,1
bOtu248,bOtu173,0.81167945,1
bOtu248,bOtu2315,0.81167945,1
bOtu248,bOtu576,0.677419355,1
bOtu248,bOtu146,0.764705882,1
bOtu248,bOtu803,0.657142857,1
bOtu248,bOtu3191,0.828571429,1
bOtu248,bOtu1512,0.828571429,1
bOtu248,bOtu469,0.714285714,1
bOtu248,bOtu1900,0.661764706,1
bOtu248,bOtu287,0.685994341,1
bOtu248,bOtu794,0.771428571,1
bOtu248,bOtu659,0.685994341,1
bOtu248,bOtu2371,0.698253252,1
bOtu18,bOtu138,0.685994341,1
bOtu18,bOtu394,0.657142857,1
bOtu18,bOtu59,0.695725243,1
bOtu18,bOtu64,0.771428571,1
bOtu18,bOtu233,0.705882353,1
bOtu18,bOtu576,0.698253252,1
bOtu18,bOtu146,0.714285714,1
bOtu18,bOtu584,0.724713795,1
bOtu18,bOtu794,0.753702346,1
eOtu256,eOtu1150,0.677419355,1
eOtu256,eOtu501,0.685994341,1
bOtu741,bOtu183,0.714285714,1
bOtu741,bOtu333,0.753702346,1
bOtu741,bOtu848,0.714285714,1
bOtu741,bOtu487,0.657142857,1
bOtu741,bOtu224,0.657142857,1
bOtu741,bOtu348,0.714285714,1
bOtu741,bOtu844,0.753702346,1
bOtu741,bOtu157,0.695725243,1
bOtu741,eOtu501,0.654653671,1
bOtu741,bOtu494,0.714285714,1
bOtu741,bOtu581,0.657142857,1
bOtu741,bOtu1238,0.666736691,1
bOtu741,bOtu1652,0.782690898,1
bOtu741,bOtu906,0.657142857,1
bOtu741,bOtu455,0.676123404,1
bOtu205,bOtu594,0.753702346,1
bOtu205,bOtu103,0.714285714,1
bOtu205,bOtu138,0.666736691,1
bOtu205,bOtu1853,0.77005138,1
bOtu205,bOtu547,0.695725243,1
bOtu205,bOtu173,0.724713795,1
bOtu205,bOtu233,0.714285714,1
bOtu205,bOtu263,0.654653671,1
bOtu205,bOtu146,0.661764706,1
bOtu205,bOtu3191,0.657142857,1
bOtu205,bOtu1512,0.657142857,1
bOtu205,bOtu1900,0.657142857,1
bOtu205,bOtu415,0.695725243,1
bOtu205,bOtu773,0.657142857,1
bOtu205,bOtu287,0.666736691,1
bOtu205,bOtu794,0.695725243,1
eOtu364,eOtu401,0.657142857,1
eOtu364,bOtu6139,0.657142857,1
eOtu364,eOtu286,0.714285714,1
eOtu364,bOtu1664,0.676123404,1
eOtu364,bOtu581,0.666736691,1
eOtu364,bOtu1652,0.695725243,1
bOtu594,bOtu828,0.83165549,1
bOtu594,bOtu3601,0.657142857,1
bOtu594,bOtu138,0.826184389,1
bOtu594,bOtu1853,0.764705882,1
bOtu594,bOtu547,0.657142857,1
bOtu594,bOtu394,0.714285714,1
bOtu594,bOtu441,0.661764706,1
bOtu594,bOtu173,0.826184389,1
bOtu594,bOtu2315,0.882352941,1
bOtu594,bOtu263,0.677419355,1
bOtu594,bOtu146,0.720588235,1
bOtu594,bOtu803,0.695725243,1
bOtu594,bOtu3191,0.826184389,1
bOtu594,bOtu1512,0.828571429,1
bOtu594,bOtu469,0.657142857,1
bOtu594,bOtu1900,0.718421208,1
bOtu594,bOtu287,0.677419355,1
bOtu594,bOtu453,0.657142857,1
bOtu594,bOtu794,0.714285714,1
bOtu594,bOtu4674,0.657142857,1
bOtu594,bOtu2371,0.774596669,1
bOtu817,bOtu762,0.654653671,1
bOtu817,bOtu541,0.654653671,1
bOtu817,bOtu424,0.695725243,1
bOtu817,bOtu1065,0.676123404,1
bOtu817,bOtu1254,0.657142857,1
bOtu817,bOtu1816,0.753702346,1
bOtu817,bOtu1301,0.657142857,1
bOtu817,bOtu2694,0.840668002,1
bOtu3,bOtu76,0.657142857,1
bOtu3,bOtu99,0.657142857,1
bOtu183,bOtu828,0.657142857,1
bOtu183,bOtu785,0.657142857,1
bOtu183,bOtu333,0.695725243,1
bOtu183,bOtu252,0.657142857,1
bOtu183,bOtu538,0.714285714,1
bOtu183,bOtu255,0.714285714,1
bOtu183,bOtu515,0.657142857,1
bOtu183,bOtu844,0.758970926,1
bOtu183,bOtu157,0.753702346,1
